name,school_type,establishment,education_office,homepage,zipcode,address,address_detail,sido,sigungu,sublocal,departments,track_auto,school_code,phone_principal,phone_academic,phone_admin,phone_career,fax
경기기계공업고등학교,특성화고,공립,서울특별시교육청,ggmt.sen.hs.kr,01810,서울특별시 노원구 공릉로 264,경기기계공업고등학교 (하계동),서울특별시,노원구,공릉로,자동화기계과 / 전기제어과 / 컴퓨터전자과 / 항공드론과 / 스마트설비과 / 하이텍융합기계과 / 산업안전제철과 / 3D융합설계과 / 스마트팩토리과 / 글로벌반 / 반도체재료과,공업계/IT,B100000579,02-2289-1601,02-2289-1610,02-2289-1785,02-2289-1660,02-948-0141
경기상업고등학교,특성화고,공립,서울특별시교육청,ggc.sen.hs.kr,03047,서울특별시 종로구 자하문로 136,136,서울특별시,종로구,자하문로,공공행정과 / 뷰티디자인과 / 크리에이터과 / 경찰행정과 / 부사관행정과 / 스포츠경영과 / 영화영상과,상업계,B100000603,02-737-3051,02-737-6490,02-737-0583,02-737-0556,02-720-2635
경복비즈니스고등학교,특성화고,사립,서울특별시교육청,kbb.sen.hs.kr,157030,서울특별시 강서구 등촌동 화곡로,379,서울특별시,강서구,등촌동,국제관광비즈니스과 / IT 비즈니스과 / 국제통상과 / 콘텐츠디자인과 / 스마트경영과 / AI융합콘텐츠과,공업계/IT,B100000628,070-7790-0900,070-7790-0902,070-7790-0991,070-7790-0972,02-3661-3439
고명외식고등학교,특성화고,사립,서울특별시교육청,komyung.sen.hs.kr,02828,서울특별시 성북구 북악산로 870,고명외식고등학교,서울특별시,성북구,북악산로,외식경영과 / 디저트 제과 경영 / 카페경영과 / 국제관광과,상업계,B100000629,02-921-5536,02-928-8366(161),02-926-2886,02-928-8366(196),02-924-6059
광신방송예술고등학교,특성화고,사립,서울특별시교육청,ksmedia.sen.hs.kr/,151863,서울특별시 관악구 신림동 광신길,141 (지번주소 : 관악구 삼성동 328번지),서울특별시,관악구,신림동,만화영상과 / 방송영상과 / 연예엔터테인먼트과 / 미디어메이크업아티스트과,서비스/생활,B100000631,02-881-8610,02-881-8612,02-881-8509,02-881-8619,02-881-8637
광운인공지능고등학교,특성화고,사립,서울특별시교육청,kwangwoon.sen.hs.kr,01890,서울특별시 노원구 광운로1길 24,광운인공지능고등학교 (월계동),서울특별시,노원구,광운로1길,전자융합과 / 네트워크통신과 / 인공지능소프트웨어과 / 인공지능컴퓨팅과 / 인공지능전기과,공업계/IT,B100000580,02-918-7761,02-918-7761,02-918-7763,02-918-7761(내:137),02-918-0070
단국대학교부속소프트웨어고등학교,특성화고,사립,서울특별시교육청,dankook.sen.hs.kr,135852,서울특별시 강남구 대치동 도곡로64길,21 단국대학교부속소프트웨어고등학교,서울특별시,강남구,대치동,게임콘텐츠과 / 사물인터넷소프트웨어과 / 인공지능소프트웨어과 / 공통과정,공업계/IT,B100000581,02-2116-0100,02-2116-0124,02-2116-0108,02-2116-0159,02-2116-0176
대경생활과학고등학교,특성화고,사립,서울특별시교육청,daekyeong.sen.hs.kr,04592,서울특별시 중구 매봉18길 111,(신당동 333-579),서울특별시,중구,매봉18길,SW디자인과 / 푸드조리디자인과 / 핀테크경영과 / 방송공연콘텐츠과,공업계/IT,B100000633,02-6325-4601,02-6325-4603,02-2234-0798,02-6325-4607,02-2252-6274
대동세무고등학교,특성화고,사립,서울특별시교육청,daedong.sen.hs.kr,03057,서울특별시 종로구 계동길 84-10,대동세무고등학교 (계동),서울특별시,종로구,계동길,세무행정과 / 세무회계과 / 공통과정 / 관세무역과,상업계,B100000634,070-8685-5701,02-763-1630,02-763-1631,02-763-1633,02-762-5552
대일관광고등학교,특성화고,사립,서울특별시교육청,daeil-tour.sen.hs.kr,08051,서울특별시 양천구 신정이펜1로 11,대일관광고등학교,서울특별시,양천구,신정이펜1로,뷰티아트과 / 호텔항공과 / 베이커리디저트과 / 외식산업과,공업계/IT,B100000635,070-4377-8801,02-6112-1704,02-6112-1757,02-6112-1708,02-2603-7843
대진디자인고등학교,특성화고,사립,서울특별시교육청,daejindesign.sen.hs.kr,135886,서울특별시 강남구 수서동 광평로39길,93,서울특별시,강남구,수서동,소프트웨어콘텐츠과 / 시각디자인 / 인테리어디자인과 / 메타버스디자인과,공업계/IT,B100000416,070-7816-9101,070-7816-9184,02-2226-8418,070-7816-9157,02-2226-4863
덕일전자공업고등학교,특성화고,사립,서울특별시교육청,di.sen.hs.kr,152899,서울특별시 구로구 오류동 서해안로21길,5-12,서울특별시,구로구,오류동,전자과 / 로봇드론과,공업계/IT,B100000582,02-2613-2763,02-2613-2762,02-2613-2761,02-2685-6009,02-2681-0528
동명생활경영고등학교,특성화고,사립,서울특별시교육청,dmgcab.sen.hs.kr,03390,서울특별시 은평구 통일로 793,동명생활경영고등학교,서울특별시,은평구,통일로,영유아보육과 / 뷰티아트과,서비스/생활,B100000638,02-383-2628,02-383-2628,02-355-6853,02-383-2628,02-389-5011
리라아트고등학교,특성화고,사립,서울특별시교육청,lila.sen.hs.kr,100250,서울특별시 중구 예장동 소파로2길,24,서울특별시,중구,예장동,건강과학과 / 영상음악콘텐츠과,공업계/IT,B100000656,02-775-6541,02-775-6541,02-775-6545,02-775-6544,02-757-3231
미래산업과학고등학교,특성화고,사립,서울특별시교육청,mist.sen.hs.kr,139859,서울특별시 노원구 중계동 덕릉로82길,54(중계4동 369-3),서울특별시,노원구,중계동,메이커창작과 / 컴퓨터특허과 / 시각디자인과 / 인공지능콘텐츠과 / 컴퓨터미디어과 / 웹툰디자인과,공업계/IT,B100000587,02-933-7852,02-933-7671,02-933-7853,02-6921-8423,02-933-7854
미림마이스터고등학교,마이스터고,사립,서울특별시교육청,www.e-mirim.hs.kr/,08821,서울특별시 관악구 호암로 546,미림마이스터고등학교 (신림동),서울특별시,관악구,호암로,뉴미디어웹솔루션과 / 뉴미디어디자인과 / 뉴미디어소프트웨어과,공업계/IT,B100000639,02-886-1815,02-872-4071,02-886-1812,02-888-8350,02-878-2188
상일미디어고등학교,특성화고,사립,서울특별시교육청,sangilmedia.sen.hs.kr,134837,서울 강동구 상일동,천호대로219길 61,서울특별시,강동구,상일동,바이오푸드 / 디지털미디어디자인 / 디지털만화영상 / 인공지능소프트웨어 / 사물인터넷,공업계/IT,B100000586,02-428-0731,02-428-0732,02-428-0732(334),02-428-0732(320),02-3427-0733
서서울생활과학고등학교,특성화고,사립,서울특별시교육청,ssls.sen.hs.kr/,08248,서울특별시 구로구 오리로 1355-10,서서울생활과학고등학교,서울특별시,구로구,오리로,생활체육과 / 실용음악과 / 국제뷰티아트과 / 국제조리과학과 / IT비즈니스과 / 호텔외식조리과 / 제과제빵과,상업계,B100000641,,02-2613-5273,02-2613-5272,02-2613-5530,02-2612-0554
